date,Amihud@120
2012-07-16,
2012-07-17,
2012-07-18,
2012-07-19,
2012-07-20,
2012-07-23,
2012-07-24,
2012-07-25,
2012-07-26,
2012-07-27,
2012-07-30,
2012-07-31,
2012-08-01,
2012-08-02,
2012-08-03,
2012-08-06,
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,
2012-08-13,
2012-08-14,
2012-08-15,
2012-08-16,
2012-08-17,
2012-08-20,
2012-08-21,
2012-08-22,
2012-08-23,
2012-08-24,
2012-08-27,
2012-08-28,
2012-08-29,
2012-08-30,
2012-08-31,
2012-09-03,
2012-09-04,
2012-09-05,
2012-09-06,
2012-09-07,
2012-09-10,
2012-09-11,
2012-09-12,
2012-09-13,
2012-09-14,
2012-09-17,
2012-09-18,
2012-09-19,
2012-09-20,
2012-09-21,
2012-09-24,
2012-09-25,
2012-09-26,
2012-09-27,
2012-09-28,
2012-10-08,
2012-10-09,
2012-10-10,
2012-10-11,
2012-10-12,
2012-10-15,
2012-10-16,
2012-10-17,
2012-10-18,
2012-10-19,
2012-10-22,
2012-10-23,
2012-10-24,
2012-10-25,
2012-10-26,
2012-10-29,
2012-10-30,
2012-10-31,
2012-11-01,
2012-11-02,
2012-11-05,
2012-11-06,
2012-11-07,
2012-11-08,
2012-11-09,
2012-11-12,
2012-11-13,
2012-11-14,
2012-11-15,
2012-11-16,
2012-11-19,
2012-11-20,
2012-11-21,
2012-11-22,
2012-11-23,
2012-11-26,
2012-11-27,
2012-11-28,
2012-11-29,
2012-11-30,
2012-12-03,
2012-12-04,
2012-12-05,
2012-12-06,
2012-12-07,
2012-12-10,
2012-12-11,
2012-12-12,
2012-12-13,
2012-12-14,
2012-12-17,
2012-12-18,
2012-12-19,
2012-12-20,
2012-12-21,
2012-12-24,
2012-12-25,
2012-12-26,
2012-12-27,
2012-12-28,
2012-12-31,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-05-02,
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,2.7889687206619365e-05
2013-06-20,1.9170062565363224e-05
2013-06-21,1.7901788530024327e-05
2013-06-24,1.5085318590530632e-05
2013-06-25,1.0326932588788589e-05
2013-06-26,4.8287534860427365e-06
2013-06-27,3.7044223534273007e-06
2013-06-28,3.4419911376717087e-06
2013-07-01,3.195020023203961e-06
2013-07-02,2.678018878143464e-06
2013-07-03,2.089515980351115e-06
2013-07-04,1.980689308309351e-06
2013-07-05,1.5265405645541562e-06
2013-07-08,1.4549115693503182e-06
2013-07-09,1.3724014978104363e-06
2013-07-10,1.10185049349162e-06
2013-07-11,1.0173834288636236e-06
2013-07-12,9.207020420178831e-07
2013-07-15,8.230667604522002e-07
2013-07-16,7.857907598436048e-07
2013-07-17,7.658851009565656e-07
2013-07-18,6.325259809966032e-07
2013-07-19,6.309727848653463e-07
2013-07-22,6.241988487562924e-07
2013-07-23,6.075934830537278e-07
2013-07-24,5.931952886568176e-07
2013-07-25,5.78903248487165e-07
2013-07-26,5.8069784204003e-07
2013-07-29,5.754958992159193e-07
2013-07-30,4.98036720099236e-07
2013-07-31,4.629650612820198e-07
2013-08-01,4.60253819478002e-07
2013-08-02,4.3951631845808023e-07
2013-08-05,4.166463432775932e-07
2013-08-06,4.154892919288663e-07
2013-08-07,4.128570795073971e-07
2013-08-08,3.8992924080803756e-07
2013-08-09,3.607538959735815e-07
2013-08-12,3.483599138875158e-07
2013-08-13,3.4462479768236403e-07
2013-08-14,3.2597616809724455e-07
2013-08-15,3.169945327163841e-07
2013-08-16,3.099241357109591e-07
2013-08-19,3.0664895347401004e-07
